5.000000000000000000e+02,5.000000000000000000e+02
5.580000000000000000e+02,4.953600000000000136e+02
6.160000000000000000e+02,4.907200000000000273e+02
6.740000000000000000e+02,4.860799999999999841e+02
7.320000000000000000e+02,4.814399999999999977e+02
7.900000000000000000e+02,4.768000000000000114e+02
8.480000000000000000e+02,4.721599999999999682e+02
9.060000000000000000e+02,4.675199999999999818e+02
9.640000000000000000e+02,4.628799999999999955e+02
1.022000000000000000e+03,4.582400000000000091e+02
1.080000000000000000e+03,4.536000000000000227e+02
1.138000000000000000e+03,4.489599999999999795e+02
1.196000000000000000e+03,4.443199999999999932e+02
1.254000000000000000e+03,4.396800000000000068e+02
1.312000000000000000e+03,4.350399999999999636e+02
1.370000000000000000e+03,4.303999999999999773e+02
1.428000000000000000e+03,4.257599999999999909e+02
1.486000000000000000e+03,4.211200000000000045e+02
1.544000000000000000e+03,4.164800000000000182e+02
1.602000000000000000e+03,4.118400000000000318e+02
1.660000000000000000e+03,4.071999999999999886e+02
1.718000000000000000e+03,4.025600000000000023e+02
1.776000000000000000e+03,3.979199999999999591e+02
1.834000000000000000e+03,3.932799999999999727e+02
1.892000000000000000e+03,3.886399999999999864e+02
1.950000000000000000e+03,3.840000000000000000e+02
2.008000000000000000e+03,3.793600000000000136e+02
2.066000000000000000e+03,3.747200000000000273e+02
2.124000000000000000e+03,3.700799999999999841e+02
2.182000000000000000e+03,3.654399999999999977e+02
2.240000000000000000e+03,3.607999999999999545e+02
2.298000000000000000e+03,3.561599999999999682e+02
2.356000000000000000e+03,3.515199999999999818e+02
2.414000000000000000e+03,3.468799999999999955e+02
2.472000000000000000e+03,3.422400000000000091e+02
2.530000000000000000e+03,3.376000000000000227e+02
2.588000000000000000e+03,3.329600000000000364e+02
2.646000000000000000e+03,3.283199999999999932e+02
2.704000000000000000e+03,3.236800000000000068e+02
2.762000000000000000e+03,3.190399999999999636e+02
2.820000000000000000e+03,3.143999999999999773e+02
2.878000000000000000e+03,3.097599999999999909e+02
2.936000000000000000e+03,3.051200000000000045e+02
2.994000000000000000e+03,3.004800000000000182e+02
